Identificador,Plantel
213632627,630-UNIVERSIDAD AUTONOMA DE YUCATAN
213632628,631-UNIVERSIDAD AUTONOMA DE ZACATECAS
213632638,632-UNIVERSIDAD AUTONOMA DEL CARMEN
213632642,633-UNIVERSIDAD DE GUADALAJARA
213632643,634-UNIVERSIDAD AUTONOMA METROPOLITANA - CDMX
213632644,635-INSTITUTO TECNOLOGICO DE SONORA
213632645,636-UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA
213632646,637-UNIVERSIDAD IBEROAMERICANA
215687367,638-ESCUELA NACIONAL DE ANTROPOLOGIA E HISTORIA
215790699,639-UNIVERSIDAD LA SALLE MEXICO
221427478,640-INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUI...
226617712,641-INSTITUTO DE INVESTIGACIONES SOCIALES UANL
231050725,642-UNIVERSIDAD VERACRUZANA
231148721,643-UNIVERSIDAD DE GUANAJUATO
231221281,644-UNIVERSIDAD  DE QUINTANA ROO
231221283,645-UNIVERSIDAD AUTÓNOMA DE OCCIDENTE
235817486,646-UNIVERSIDAD AUTÓNOMA DE GUADALAJARA
236981441,647-UNIVERSIDAD PANAMERICANA
237911400,648-ESCUELA NACIONAL DE CONSERVACIÓN. RESTAURACIÓN ...
237911401,649-INSTITUTO DE ESTUDIOS CRITICOS
243430696,650-UNIVERSIDAD JUÁREZ AUTÓNOMA DE TABASCO
247223732,651-UNIVERSIDAD DEL CARIBE - QUINTANA ROO
247224018,652-UNIVERSIDAD ANÁHUAC - CDMX
250100754,653-UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO
256366377,654-UNIVERSIDAD AUTONOMA AGRARIA ANTONIO NARRO - CO...
270410854,656-UNIVERSIDAD AUTÓNOMA DE CHAPINGO - ESTADO DE MÉ...
270410925,657-DISPONIBLE PARA ALGUN EA
