Identificador,Plantel
3818,043-CENTRO UNIVERSITARIO DE EDUCACION MEDIA SUPERIO...
3819,"044-PREPARATORIA ""DR. JORGE JIMENEZ CANTU"""
3820,"045-PREPARATORIA ""ESTADO DE MEXICO"""
3821,046-PREPARATORIA MEXICO
3822,047-PREPARATORIA REGIONAL DE COACALCO
3823,048-PREPARATORIA JOSE RAMON ALBARRAN PLIEGO
3824,049-PREPARATORIA REGIONAL DE CHIPILTEPEC
3825,050-ATENEO DR. GUSTAVO BAZ PRADA
3826,051-PREPARATORIA REGIONAL DE TEOTIHUACAN
3827,"052-PREPARATORIA REGIONAL DE AMATEPEC ""GRAL. LAZARO..."
3828,053-PREPARATORIA REGIONAL DE ZUMPANGO
3829,"054-PREPARATORIA REGIONAL DE NEXTLALPAN ""LIC. JUAN ..."
3830,"055-PREPARATORIA REGIONAL DE VILLA CUAUHTEMOC ""HORA..."
3831,056-PREPARATORIA REGIONAL DE SANTO DOMINGO AZTACAMECA
3832,057-INSTITUTO UNIVERSITARIO TLALNEPANTLA. A.C.
3833,"058-INSTITUTO CULTURAL ""LIC. JUSTO SIERRA"""
3834,059-PREPARATORIA REGIONAL DE OTUMBA
3835,"060-""CENTRO DE BACHILLERATO JOSE VASCONCELOS. S.C."""
3836,"061-PREPARATORIA ""JOSE ANTONIO ALZATE"". A.C."
3837,"062-INSTITUTO CULTURAL ""PAIDEIA"""
3838,063-ESCUELA PREPARATORIA REGIONAL DE APAXCO. A. C.
3839,064-CENTRO UNIVERSITARIO NICOLAS ROMERO. S.C.
3840,"065-INSTITUTO CULTURAL ""EL ATENEO OCOYOACAC"""
3841,066-INSTITUTO CULTURAL PROTACIO GOMEZ
3842,"068-LICEO ""JUAN RUIZ DE ALARCON"""
3843,069-PREPARATORIA DE LA UNIVERSIDAD DEL VALLE DE MEXICO
3844,070-PREPARATORIA REGIONAL DE SANTIAGO TILAPA
3845,071-PREPARATORIA REGIONAL DE SAN FELIPE DEL PROGRES...
3846,"072-PREPARATORIA REGIONAL DE ACULCO ""VENUSTIANO CAR..."
